bag,kind,reason,start_kst,end_kst,duration_s,message_count,wp_min,wp_max,pose_x,pose_y,final_max_v,final_moving_fraction,threat_distance_m,threat_class,threat_motion,threat_id
blackbox_20260802_211746.bag,HOLD,PAUSED,2026-08-02 21:17:47.535,2026-08-02 21:19:23.830,96.395,964,2,2,-6.8856128579031735,-2.5165528920760085,0.0119989158,0.0,,,,
blackbox_20260802_211746.bag,HOLD,PAUSED,2026-08-02 21:19:42.832,2026-08-02 21:22:18.830,156.098,1561,47,48,0.9712844942168619,0.318921143676806,0.0,0.0,0.56,outside_band,moving,232
blackbox_20260802_212436.bag,HOLD,PAUSED,2026-08-02 21:24:37.793,2026-08-02 21:35:21.890,644.197,6442,,,-7.1820091893167,-2.476312358534361,0.0,0.0,0.46,outside_band,static,474
blackbox_20260802_213633.bag,HOLD,PAUSED,2026-08-02 21:36:34.695,2026-08-02 21:37:50.296,75.701,757,0,0,-7.223854115334655,-2.7507697197531904,0.012001919699999999,0.0,7.45,obstacle,moving,9
blackbox_20260802_213633.bag,STATE,OBSTACLE,2026-08-02 21:42:05.897,2026-08-02 21:42:05.897,0.000,1,536,537,88.35571464031426,-14.328226341085205,0.3,1.0,1.085,vehicle,unknown,515
blackbox_20260802_213633.bag,STATE,OBSTACLE,2026-08-02 21:42:06.797,2026-08-02 21:42:07.299,0.602,6,538,539,88.39890075964622,-14.622589680900624,0.17481424071224985,0.37142857142857144,0.96,vehicle,unknown,515
blackbox_20260802_213633.bag,STATE,OBSTACLE,2026-08-02 21:42:09.315,2026-08-02 21:42:09.799,0.584,6,541,542,88.82576432921346,-15.042295690104618,0.018,0.0,0.8700000000000001,outside_band,unknown,529
blackbox_20260802_213633.bag,STATE,OBSTACLE,2026-08-02 21:42:10.600,2026-08-02 21:42:11.397,0.897,9,542,543,88.80476380969827,-15.243661351648827,0.126,0.14,0.8900000000000001,outside_band,moving,529
blackbox_20260802_213633.bag,STATE,OBSTACLE,2026-08-02 21:42:12.100,2026-08-02 21:42:12.497,0.497,5,543,544,88.97829539839637,-15.403004108819655,0.1020030639,0.2,0.9699999999999998,outside_band,moving,529
blackbox_20260802_213633.bag,STATE,OBSTACLE,2026-08-02 21:42:14.515,2026-08-02 21:42:15.097,0.682,6,546,547,89.31214011048459,-15.914953172554604,0.017994046200000002,0.0,0.8649999999999998,outside_band,unknown,547
blackbox_20260802_213633.bag,STATE,OBSTACLE,2026-08-02 21:42:15.899,2026-08-02 21:42:16.803,1.004,10,547,548,89.31664034382977,-16.114494004559408,0.126,0.14545454545454545,0.8599999999999999,outside_band,moving,541
blackbox_20260802_213633.bag,STATE,OBSTACLE,2026-08-02 21:42:19.597,2026-08-02 21:42:20.199,0.702,7,552,553,89.7197911962797,-16.793276306273597,0.18,0.525,0.7049999999999996,outside_band,unknown,558
blackbox_20260802_213633.bag,HOLD,MANUAL_MODE,2026-08-02 21:45:29.696,2026-08-02 21:47:36.995,127.399,1274,900,900,125.21113626753603,-70.3249478904674,0.036012768599999995,0.00015686274509803922,0.75,vehicle,moving,1142
blackbox_20260802_213633.bag,HOLD,PAUSED,2026-08-02 21:47:37.099,2026-08-02 21:50:50.595,193.595,1936,917,917,126.2074026178434,-70.93834221704577,0.018,0.0,0.5049999999999999,outside_band,moving,1821
blackbox_20260802_213633.bag,STATE,OBSTACLE,2026-08-02 21:50:53.309,2026-08-02 21:50:53.608,0.399,2,919,920,127.21709771436399,-73.48666139172175,0.1117094707733977,0.96,0.5099999999999998,outside_band,static,1980
blackbox_20260802_213633.bag,STATE,OBSTACLE,2026-08-02 21:50:54.305,2026-08-02 21:50:54.305,0.000,1,921,921,127.37614048360219,-73.66274052252639,0.2011043512906425,1.0,0.5549999999999997,outside_band,static,1980
blackbox_20260802_213633.bag,STATE,OBSTACLE,2026-08-02 21:50:55.400,2026-08-02 21:50:56.108,0.808,7,922,923,127.51888510383932,-73.86905025515159,0.17632027060278124,0.3695652173913043,0.6099999999999999,outside_band,static,1980
blackbox_20260802_213633.bag,STATE,OBSTACLE,2026-08-02 21:50:56.598,2026-08-02 21:50:57.198,0.700,6,923,924,127.56945374650942,-74.0049862841693,0.032077284,0.025,0.5550000000000002,outside_band,static,1980
blackbox_20260802_213633.bag,STATE,OBSTACLE,2026-08-02 21:50:57.700,2026-08-02 21:50:58.400,0.800,8,924,924,127.60650465609424,-74.13928038245366,0.0659974137,0.044444444444444446,0.5249999999999995,outside_band,static,1980
blackbox_20260802_213633.bag,STATE,OBSTACLE,2026-08-02 21:50:58.904,2026-08-02 21:50:59.808,1.004,9,924,925,127.65205778399701,-74.22569144712494,0.072,0.07142857142857142,0.52,outside_band,static,1980
blackbox_20260802_213633.bag,STATE,OBSTACLE,2026-08-02 21:51:00.502,2026-08-02 21:51:01.399,0.997,10,925,926,127.71959433868045,-74.35878221512017,0.10799696429999998,0.10909090909090909,0.52,vehicle,static,1980
blackbox_20260802_213633.bag,STATE,OBSTACLE,2026-08-02 21:51:02.101,2026-08-02 21:51:02.799,0.798,7,926,927,127.88283942402967,-74.46598528999522,0.0620113276,0.13333333333333333,0.6149999999999998,vehicle,static,1980
blackbox_20260802_213633.bag,STATE,OBSTACLE,2026-08-02 21:51:03.502,2026-08-02 21:51:03.997,0.595,6,927,928,128.0187584728985,-74.58051839302944,0.1079966211,0.2,0.7450000000000001,outside_band,static,1980
blackbox_20260802_213633.bag,STATE,OBSTACLE,2026-08-02 21:51:04.801,2026-08-02 21:51:05.297,0.596,6,928,929,128.12442482838375,-74.76728835943544,0.126,0.2,0.6950000000000003,outside_band,static,1980
blackbox_20260802_213633.bag,STATE,OBSTACLE,2026-08-02 21:51:05.900,2026-08-02 21:51:06.209,0.410,4,929,929,128.20010914555533,-74.92361379522198,0.09,0.23076923076923078,0.6650000000000005,outside_band,static,1980
blackbox_20260802_213633.bag,STATE,OBSTACLE,2026-08-02 21:51:07.097,2026-08-02 21:51:07.615,0.617,6,929,930,128.2354255191238,-75.044034901286,0.13799812890000002,0.3611111111111111,0.6199999999999997,outside_band,moving,1980
blackbox_20260802_213633.bag,STATE,OBSTACLE,2026-08-02 21:51:10.697,2026-08-02 21:51:16.402,5.805,48,934,934,128.62678168802543,-75.72088563670455,0.12,0.0711864406779661,0.6549999999999998,outside_band,static,1980
blackbox_20260802_213633.bag,STATE,OBSTACLE,2026-08-02 21:51:16.814,2026-08-02 21:51:17.210,0.496,3,934,934,128.61517434907358,-75.8717206592276,0.018,0.0,0.6549999999999998,outside_band,static,1980
blackbox_20260802_213633.bag,STATE,OBSTACLE,2026-08-02 21:51:17.598,2026-08-02 21:51:17.812,0.314,3,934,935,128.61680359398275,-75.88550301562321,0.018,0.0,0.6499999999999999,outside_band,static,1980
blackbox_20260802_213633.bag,STATE,OBSTACLE,2026-08-02 21:51:18.407,2026-08-02 21:51:18.407,0.000,1,935,935,128.61892180702839,-75.89329247294218,0.0,0.0,0.6349999999999998,outside_band,static,1980
blackbox_20260802_213633.bag,STATE,OBSTACLE,2026-08-02 21:51:18.902,2026-08-02 21:51:18.902,0.000,1,935,935,128.62150545623842,-75.88685312204522,0.0,0.0,0.6349999999999998,outside_band,static,1980
blackbox_20260802_213633.bag,STATE,OBSTACLE,2026-08-02 21:51:19.300,2026-08-02 21:51:19.900,0.700,5,935,935,128.65600785898334,-75.8901236151722,0.0359994105,0.075,0.665,outside_band,static,1980
blackbox_20260802_213633.bag,STATE,OBSTACLE,2026-08-02 21:51:25.104,2026-08-02 21:51:25.197,0.192,2,941,942,129.38881600666602,-76.9612546452874,0.1080157041,1.0,0.5299999999999998,outside_band,unknown,2054
blackbox_20260802_213633.bag,STATE,OBSTACLE,2026-08-02 21:51:27.006,2026-08-02 21:51:27.297,0.391,4,944,945,129.6838034714299,-77.40495672844787,0.053995299299999994,0.24,0.5249999999999995,outside_band,moving,2054
blackbox_20260802_213633.bag,STATE,OBSTACLE,2026-08-02 21:51:27.704,2026-08-02 21:51:32.200,4.596,46,945,945,129.66712715171317,-77.46042814269167,0.011886620399999999,0.0,0.5,outside_band,moving,2054
blackbox_20260802_213633.bag,STATE,OBSTACLE,2026-08-02 21:51:32.813,2026-08-02 21:51:33.002,0.289,3,945,946,129.77742365112698,-77.43627836090457,0.0899999829,0.2631578947368421,0.5949999999999998,outside_band,static,2054
blackbox_20260802_213633.bag,HOLD,MANUAL_MODE,2026-08-02 21:51:34.896,2026-08-02 21:53:22.295,107.498,1075,947,948,130.02235801503969,-77.90900325494476,0.0,0.0,0.5400000000000005,outside_band,static,2054
blackbox_20260802_213633.bag,HOLD,PAUSED,2026-08-02 21:53:22.409,2026-08-02 21:54:21.895,59.586,596,1048,1049,142.91525075185896,-89.18687288605473,0.018,0.0,6.34,obstacle,unknown,2435
blackbox_20260802_213633.bag,HOLD,MANUAL_MODE,2026-08-02 21:55:06.896,2026-08-02 21:57:54.295,167.499,1675,1126,1126,154.32115223989007,-82.31886028546619,0.0,0.0,0.46,obstacle,static,2900
blackbox_20260802_213633.bag,HOLD,PAUSED,2026-08-02 21:57:54.405,2026-08-02 21:58:02.611,8.306,83,,,155.2081751179625,-83.61148485673644,0.0,0.0,0.695,obstacle,static,3277
