session,t_ros,x,y,z,yaw_deg,nearest_dense_wp,nearest_distance_m
210339_wrong_localization,1786795419.526803732,-4.948874,-3.590412,-0.096648,12.690,11,2.1553
210339_wrong_localization,1786795419.626095295,-4.949433,-3.593367,-0.098167,12.684,11,2.1576
210339_wrong_localization,1786795419.726494551,-4.951920,-3.591002,-0.099662,12.658,10,2.1542
210339_wrong_localization,1786795419.826350689,-4.949793,-3.592471,-0.097982,12.682,11,2.1566
210339_wrong_localization,1786795419.927618504,-4.953046,-3.595139,-0.097748,12.697,10,2.1570
210339_wrong_localization,1786795420.026360273,-4.950347,-3.592470,-0.098797,12.728,10,2.1563
210339_wrong_localization,1786795420.126396418,-4.949187,-3.587274,-0.098183,12.774,11,2.1524
210339_wrong_localization,1786795420.226277113,-4.950828,-3.586323,-0.097632,12.792,11,2.1508
210339_wrong_localization,1786795420.327600241,-4.949890,-3.585205,-0.097466,12.661,11,2.1503
210339_wrong_localization,1786795420.426188469,-4.952623,-3.584728,-0.096649,12.710,11,2.1485
210339_wrong_localization,1786795420.527694464,-4.949534,-3.588710,-0.096677,12.713,11,2.1535
210339_wrong_localization,1786795420.626492739,-4.952873,-3.588329,-0.095759,12.693,10,2.1515
210339_wrong_localization,1786795420.727756500,-4.957139,-3.589047,-0.096442,12.779,10,2.1496
210339_wrong_localization,1786795420.827829838,-4.955518,-3.591994,-0.098978,12.760,10,2.1530
210339_wrong_localization,1786795420.927278757,-4.952922,-3.589507,-0.098691,12.699,10,2.1524
210339_wrong_localization,1786795421.030375242,-4.949332,-3.582211,-0.097829,12.730,11,2.1479
210339_wrong_localization,1786795421.127513647,-4.948293,-3.583744,-0.095610,12.688,11,2.1498
210339_wrong_localization,1786795421.227596760,-4.950615,-3.588391,-0.096829,12.699,11,2.1527
210339_wrong_localization,1786795421.327816248,-4.950000,-3.590453,-0.098832,12.781,11,2.1548
210339_wrong_localization,1786795421.427927494,-4.950013,-3.589590,-0.099543,12.741,11,2.1540
210339_wrong_localization,1786795421.526719570,-4.951478,-3.588795,-0.098796,12.746,11,2.1526
210339_wrong_localization,1786795421.626664400,-4.954323,-3.586668,-0.097623,12.723,10,2.1493
210339_wrong_localization,1786795421.726725817,-4.958973,-3.588777,-0.097846,12.711,10,2.1484
210339_wrong_localization,1786795421.826780558,-4.956319,-3.591898,-0.097606,12.713,10,2.1524
210339_wrong_localization,1786795421.926582813,-4.957258,-3.591463,-0.097959,12.731,10,2.1515
210339_wrong_localization,1786795422.026894331,-4.956008,-3.588138,-0.097356,12.746,10,2.1495
210339_wrong_localization,1786795422.128265858,-4.954421,-3.587549,-0.098719,12.710,10,2.1500
210339_wrong_localization,1786795422.228155375,-4.951278,-3.591623,-0.097380,12.762,10,2.1551
210339_wrong_localization,1786795422.326952696,-4.949040,-3.593098,-0.097197,12.759,11,2.1575
210339_wrong_localization,1786795422.426729918,-4.953908,-3.595821,-0.098516,12.760,10,2.1570
210339_wrong_localization,1786795422.528137684,-4.955518,-3.598260,-0.099741,12.734,10,2.1581
210339_wrong_localization,1786795422.626982450,-4.952893,-3.600811,-0.097777,12.724,10,2.1617
210339_wrong_localization,1786795422.726768970,-4.951763,-3.597028,-0.095702,12.771,10,2.1592
210339_wrong_localization,1786795422.826498985,-4.950541,-3.594533,-0.097676,12.768,10,2.1579
210339_wrong_localization,1786795422.926743746,-4.952560,-3.592033,-0.098007,12.729,10,2.1547
210339_wrong_localization,1786795423.026815891,-4.954086,-3.587997,-0.099007,12.743,10,2.1505
210339_wrong_localization,1786795423.126897335,-4.957637,-3.589085,-0.099650,12.750,10,2.1494
210339_wrong_localization,1786795423.227226973,-4.956074,-3.592370,-0.099567,12.711,10,2.1530
210339_wrong_localization,1786795423.327105999,-4.956583,-3.593592,-0.099532,12.713,10,2.1537
210339_wrong_localization,1786795423.426976204,-4.956855,-3.595423,-0.098518,12.755,10,2.1550
210339_wrong_localization,1786795423.528052092,-4.955361,-3.597075,-0.096357,12.763,10,2.1572
210339_wrong_localization,1786795423.627975464,-4.956751,-3.595759,-0.097344,12.707,10,2.1554
210339_wrong_localization,1786795423.726916552,-4.957115,-3.592018,-0.096284,12.785,10,2.1521
210339_wrong_localization,1786795423.828219891,-4.954860,-3.592790,-0.095431,12.759,10,2.1540
210339_wrong_localization,1786795423.927124977,-4.951362,-3.590654,-0.094759,12.740,10,2.1543
210339_wrong_localization,1786795424.028363943,-4.953430,-3.590204,-0.095176,12.794,10,2.1527
210339_wrong_localization,1786795424.141872406,-4.956082,-3.593351,-0.097161,12.717,10,2.1538
210339_wrong_localization,1786795424.228390455,-4.955644,-3.591993,-0.097940,12.740,10,2.1529
210339_wrong_localization,1786795424.328181028,-4.953617,-3.592126,-0.097561,12.762,10,2.1542
210339_wrong_localization,1786795424.427929640,-4.955654,-3.595407,-0.097867,12.719,10,2.1557
210339_wrong_localization,1786795424.534418344,-4.956915,-3.592811,-0.097054,12.704,10,2.1528
210339_wrong_localization,1786795424.628272533,-4.955215,-3.593772,-0.096389,12.737,10,2.1546
210339_wrong_localization,1786795424.728183031,-4.953566,-3.590225,-0.098338,12.716,10,2.1526
210339_wrong_localization,1786795424.828311920,-4.956212,-3.590979,-0.100137,12.736,10,2.1517
210339_wrong_localization,1786795424.928584337,-4.955016,-3.589555,-0.098690,12.716,10,2.1513
210339_wrong_localization,1786795425.028576851,-4.953152,-3.590692,-0.097261,12.739,10,2.1533
210339_wrong_localization,1786795425.128457308,-4.953094,-3.591584,-0.095649,12.691,10,2.1540
210339_wrong_localization,1786795425.226866007,-4.954539,-3.587624,-0.096164,12.728,10,2.1499
210339_wrong_localization,1786795425.329006195,-4.951886,-3.593573,-0.097224,12.729,10,2.1563
210339_wrong_localization,1786795425.426928282,-4.956406,-3.597894,-0.098187,12.722,10,2.1573
210339_wrong_localization,1786795425.527245522,-4.958072,-3.597764,-0.099005,12.744,10,2.1562
210339_wrong_localization,1786795425.628570318,-4.953653,-3.593847,-0.099270,12.730,10,2.1556
210339_wrong_localization,1786795425.728229284,-4.952882,-3.593089,-0.099986,12.781,10,2.1554
210339_wrong_localization,1786795425.828742266,-4.957257,-3.598195,-0.099124,12.698,10,2.1571
210339_wrong_localization,1786795425.928733826,-4.956192,-3.598359,-0.097596,12.708,10,2.1578
210339_wrong_localization,1786795426.027149439,-4.959549,-3.597326,-0.097125,12.720,10,2.1550
210339_wrong_localization,1786795426.127012730,-4.959663,-3.595982,-0.098040,12.729,10,2.1539
210339_wrong_localization,1786795426.230888605,-4.955287,-3.597608,-0.097167,12.735,10,2.1577
210339_wrong_localization,1786795426.327214479,-4.954158,-3.594842,-0.097911,12.729,10,2.1561
210339_wrong_localization,1786795426.428596020,-4.958736,-3.596498,-0.097820,12.733,10,2.1548
210339_wrong_localization,1786795426.527135849,-4.957386,-3.594611,-0.099452,12.749,10,2.1541
210339_wrong_localization,1786795426.627142429,-4.956273,-3.592065,-0.099915,12.743,10,2.1526
210339_wrong_localization,1786795426.727264881,-4.952464,-3.591441,-0.099175,12.755,10,2.1543
210339_wrong_localization,1786795426.827483892,-4.955117,-3.594182,-0.099374,12.743,10,2.1550
210339_wrong_localization,1786795426.927106142,-4.954454,-3.590464,-0.098785,12.748,10,2.1523
210339_wrong_localization,1786795427.027499437,-4.953489,-3.588208,-0.098157,12.742,10,2.1510
210339_wrong_localization,1786795427.128845930,-4.955530,-3.589774,-0.097010,12.741,10,2.1511
210339_wrong_localization,1786795427.227474928,-4.959485,-3.592417,-0.098245,12.722,10,2.1511
210339_wrong_localization,1786795427.327450991,-4.956295,-3.593773,-0.098921,12.772,10,2.1540
210339_wrong_localization,1786795427.427412748,-4.954925,-3.592505,-0.098983,12.752,10,2.1537
210339_wrong_localization,1786795427.527333021,-4.953206,-3.592508,-0.098564,12.703,10,2.1547
210339_wrong_localization,1786795427.627208233,-4.952318,-3.590422,-0.097294,12.729,10,2.1535
210339_wrong_localization,1786795427.727397680,-4.954654,-3.590602,-0.099785,12.737,10,2.1523
210339_wrong_localization,1786795427.827204466,-4.953973,-3.590024,-0.098128,12.729,10,2.1522
210339_wrong_localization,1786795427.928811312,-4.955968,-3.591015,-0.098586,12.749,10,2.1519
210339_wrong_localization,1786795428.028543949,-4.955738,-3.591790,-0.100979,12.749,10,2.1527
210339_wrong_localization,1786795428.128426075,-4.957706,-3.593749,-0.099345,12.705,10,2.1532
210339_wrong_localization,1786795428.228801727,-4.957678,-3.595644,-0.097505,12.717,10,2.1547
210339_wrong_localization,1786795428.328764915,-4.957234,-3.594602,-0.094844,12.743,10,2.1541
210339_wrong_localization,1786795428.428780079,-4.955468,-3.594067,-0.096497,12.744,10,2.1547
210339_wrong_localization,1786795428.527238369,-4.956152,-3.590304,-0.097575,12.753,10,2.1512
210339_wrong_localization,1786795428.627088785,-4.953038,-3.589281,-0.097771,12.748,10,2.1522
210339_wrong_localization,1786795428.727621078,-4.951427,-3.593094,-0.098437,12.752,10,2.1562
210339_wrong_localization,1786795428.827476263,-4.948413,-3.589550,-0.096856,12.759,11,2.1548
210339_wrong_localization,1786795428.927546740,-4.953840,-3.592490,-0.097192,12.734,10,2.1543
210339_wrong_localization,1786795429.027205229,-4.955555,-3.590577,-0.097947,12.734,10,2.1518
210339_wrong_localization,1786795429.127120972,-4.956919,-3.593125,-0.099431,12.762,10,2.1531
210339_wrong_localization,1786795429.227710485,-4.957939,-3.590658,-0.097585,12.720,10,2.1505
210339_wrong_localization,1786795429.327982426,-4.957333,-3.592354,-0.097943,12.744,10,2.1522
210339_wrong_localization,1786795429.427514553,-4.955071,-3.595850,-0.097350,12.726,10,2.1564
210339_wrong_localization,1786795429.527491093,-4.950125,-3.590909,-0.097381,12.733,11,2.1551
210339_wrong_localization,1786795429.627427340,-4.951277,-3.588520,-0.097556,12.757,11,2.1524
210339_wrong_localization,1786795429.728145123,-4.953451,-3.595278,-0.099224,12.764,10,2.1568
210339_wrong_localization,1786795429.829175711,-4.951698,-3.588353,-0.098816,12.730,11,2.1521
210339_wrong_localization,1786795429.927454233,-4.953465,-3.589750,-0.096218,12.716,10,2.1523
210339_wrong_localization,1786795430.027845621,-4.956421,-3.590127,-0.097319,12.749,10,2.1509
210339_wrong_localization,1786795430.127607346,-4.957287,-3.593841,-0.096665,12.746,10,2.1535
210339_wrong_localization,1786795430.228566170,-4.957958,-3.595341,-0.096059,12.762,10,2.1543
210339_wrong_localization,1786795430.327589273,-4.959551,-3.595510,-0.096792,12.732,10,2.1536
210339_wrong_localization,1786795430.427336454,-4.955547,-3.594129,-0.098569,12.748,10,2.1547
210339_wrong_localization,1786795430.527573586,-4.952883,-3.595362,-0.099763,12.770,10,2.1572
210339_wrong_localization,1786795430.627601862,-4.952797,-3.592875,-0.098970,12.747,10,2.1553
210339_wrong_localization,1786795430.727999926,-4.953719,-3.592601,-0.098540,12.762,10,2.1545
210339_wrong_localization,1786795430.827730179,-4.952725,-3.587116,-0.097864,12.724,11,2.1505
210339_wrong_localization,1786795430.927450895,-4.953369,-3.586077,-0.095970,12.733,11,2.1493
210339_wrong_localization,1786795431.028064966,-4.953421,-3.584995,-0.097334,12.736,11,2.1483
210339_wrong_localization,1786795431.127709150,-4.951816,-3.583389,-0.098028,12.750,11,2.1477
210339_wrong_localization,1786795431.227715731,-4.953978,-3.586556,-0.098621,12.748,10,2.1494
210339_wrong_localization,1786795431.327930212,-4.955242,-3.588843,-0.098231,12.747,10,2.1505
210339_wrong_localization,1786795431.427787542,-4.954314,-3.589858,-0.098241,12.734,10,2.1519
210339_wrong_localization,1786795431.527633667,-4.954644,-3.594582,-0.097840,12.755,10,2.1556
210339_wrong_localization,1786795431.627804279,-4.953457,-3.591319,-0.098115,12.740,10,2.1536
210339_wrong_localization,1786795431.727782726,-4.956521,-3.591653,-0.098728,12.751,10,2.1521
210339_wrong_localization,1786795431.829061270,-4.954566,-3.585770,-0.097923,12.744,10,2.1484
210339_wrong_localization,1786795431.927677393,-4.952459,-3.589546,-0.097853,12.779,10,2.1527
210339_wrong_localization,1786795432.027917385,-4.954775,-3.591039,-0.097066,12.748,10,2.1526
210339_wrong_localization,1786795432.129242659,-4.952346,-3.592091,-0.098012,12.780,10,2.1549
210339_wrong_localization,1786795432.229313850,-4.951472,-3.595526,-0.097471,12.754,10,2.1582
210339_wrong_localization,1786795432.328195095,-4.951814,-3.599391,-0.098241,12.785,10,2.1612
210339_wrong_localization,1786795432.429540873,-4.954004,-3.596094,-0.097695,12.745,10,2.1572
210339_wrong_localization,1786795432.529576063,-4.952947,-3.595445,-0.097896,12.754,10,2.1573
210339_wrong_localization,1786795432.627252102,-4.951279,-3.591914,-0.096339,12.761,10,2.1553
210339_wrong_localization,1786795432.729408503,-4.952919,-3.594653,-0.096391,12.748,10,2.1566
210339_wrong_localization,1786795432.827589512,-4.951649,-3.588804,-0.098054,12.755,11,2.1525
210339_wrong_localization,1786795432.927819252,-4.953944,-3.593746,-0.098709,12.775,10,2.1553
210339_wrong_localization,1786795433.027527809,-4.955185,-3.596184,-0.097816,12.750,10,2.1566
210339_wrong_localization,1786795433.127457619,-4.953782,-3.596930,-0.097618,12.763,10,2.1580
210339_wrong_localization,1786795433.227886438,-4.953273,-3.594229,-0.096936,12.776,10,2.1561
210339_wrong_localization,1786795433.327812672,-4.952660,-3.593479,-0.096616,12.742,10,2.1558
210339_wrong_localization,1786795433.427880049,-4.954907,-3.592826,-0.095100,12.727,10,2.1540
210339_wrong_localization,1786795433.528011560,-4.956482,-3.592187,-0.095850,12.757,10,2.1526
210339_wrong_localization,1786795433.627886534,-4.958452,-3.600145,-0.096186,12.747,10,2.1580
210339_wrong_localization,1786795433.727859020,-4.956115,-3.596941,-0.096446,12.748,10,2.1567
210339_wrong_localization,1786795433.827751398,-4.956011,-3.598778,-0.097113,12.741,10,2.1583
210339_wrong_localization,1786795433.927499056,-4.955151,-3.597754,-0.096115,12.759,10,2.1579
210339_wrong_localization,1786795434.027886868,-4.956575,-3.599340,-0.097210,12.759,10,2.1584
210339_wrong_localization,1786795434.127825499,-4.955393,-3.590916,-0.098162,12.742,10,2.1522
210339_wrong_localization,1786795434.229807138,-4.956296,-3.585530,-0.100238,12.735,10,2.1472
210339_wrong_localization,1786795434.328037739,-4.954850,-3.588530,-0.099294,12.757,10,2.1505
210339_wrong_localization,1786795434.428245306,-4.957051,-3.588198,-0.098130,12.732,10,2.1490
210339_wrong_localization,1786795434.528261900,-4.956496,-3.588147,-0.097477,12.738,10,2.1493
210339_wrong_localization,1786795434.629765511,-4.954908,-3.588958,-0.097081,12.742,10,2.1508
210339_wrong_localization,1786795434.727643490,-4.952690,-3.588625,-0.096043,12.742,10,2.1518
210339_wrong_localization,1786795434.829640627,-4.953076,-3.590563,-0.095936,12.749,10,2.1532
210339_wrong_localization,1786795434.928131819,-4.953159,-3.595552,-0.096489,12.764,10,2.1572
210339_wrong_localization,1786795435.029931545,-4.951499,-3.596449,-0.097491,12.769,10,2.1589
210339_wrong_localization,1786795435.128964424,-4.953287,-3.594609,-0.096399,12.760,10,2.1564
210339_wrong_localization,1786795435.228149414,-4.954656,-3.598975,-0.099439,12.773,10,2.1592
210339_wrong_localization,1786795435.330459118,-4.953829,-3.593959,-0.099293,12.754,10,2.1555
210339_wrong_localization,1786795435.429497719,-4.954724,-3.591444,-0.099159,12.747,10,2.1530
210339_wrong_localization,1786795435.529670238,-4.956038,-3.593988,-0.095750,12.735,10,2.1543
210339_wrong_localization,1786795435.629616499,-4.955872,-3.595274,-0.096790,12.761,10,2.1555
210339_wrong_localization,1786795435.728014708,-4.955256,-3.595394,-0.098599,12.743,10,2.1559
210339_wrong_localization,1786795435.828268766,-4.956396,-3.593965,-0.098795,12.751,10,2.1541
